Topic,Count,Name,Representation,KeyBERT,MMR,Representative_Docs
0,7510,0_biti_sebe_koji_komentar,"['biti', 'sebe', 'koji', 'komentar', 'naslov', 'datum', 'sažetak', 'taj', 'htjeti', 'što']","['rusija', 'domorodački', 'zagreb', 'ukrajina', 'pregovor', 'umjetan inteligencija', 'komarac', 'crven', 'kada', 'hdz']","['ali', 'sad', 'ukrajina', 'bez', 'kao', 'rusija', 'umjetan', 'put', 'putin', 'umjetan inteligencija']",
1,3040,1_biti_sebe_koji_komentar,"['biti', 'sebe', 'koji', 'komentar', 'naslov', 'datum', 'sažetak', 'taj', 'htjeti', 'ovaj']","['vinjeta', 'todorić', 'zagreb', 'znanstvenik otkriti', 'dubrovnik', 'ukrajina', 'milijarda', 'nagao', 'petrov', 'najaviti']","['dan', 'kao', 'nemati', 'vrijeme', 'promjena vrijeme', 'problem', 'ukrajina', 'nuklearka', 'mozg', 'najaviti']",
2,1739,2_biti_sebe_naslov_komentar,"['biti', 'sebe', 'naslov', 'komentar', 'sažetak', 'datum', 'taj', 'koji', 'htjeti', 'ovaj']","['premijer andrej plenković', 'andrej plenković', 'new york', 'plenković', 'rusija', 'zagreb', 'premijer andrej', 'ukrajina', 'tuča', 'helikopter']","['zagreb', 'nuklearan oružje', 'kupnja', 'rusija', 'osoba', 'tomašević', 'preko', 'žičara', 'oluja', 'tuča']",
3,1701,3_biti_koji_sebe_datum,"['biti', 'koji', 'sebe', 'datum', 'komentar', 'naslov', 'sažetak', 'htjeti', 'danas', 'taj']","['nadstrešnica', 'proeuropski', 'schmidt', 'trumpov', 'trump', 'kolodvor', 'koreja', 'volodimir zelenski', 'podupirati', 'poručiti']","['bih', 'dan', 'who', 'dokument', 'trumpov', 'zelenski', 'sad', 'novi sad', 'nadstrešnica', 'još']",
4,1426,4_biti_sebe_komentar_naslov,"['biti', 'sebe', 'komentar', 'naslov', 'sažetak', 'datum', 'koji', 'taj', 'htjeti', 'ovaj']","['leopard', 'opkoliti', 'dalmacija', 'zagreb', 'domagoj', 'pobačaj', 'martinović', 'astronaut', 'nezavisan', 'vučić']","['rad', 'nesreća', 'novi sad', 'sad', 'kazna', 'janaf', 'među', 'gong', 'njegov', 'nezavisan']",
5,283,5_biti_koji_sebe_naslov,"['biti', 'koji', 'sebe', 'naslov', 'sažetak', 'datum', 'komentar', 'nakon', 'zbog', 'godina']","['kolodvor novi sad', 'prometan nesreća dogoditi', 'težak prometan nesreća', 'slavonski brod', 'kolodvor novi', 'motociklist', 'kriminalistički istraživanje nad', 'dovršiti kriminalistički istraživanje', 'dovršiti kriminalistički', 'kriminalistički istraživanje']","['teško ozlijediti', 'prometan nesreća', 'kriminalistički istraživanje nad', 'kazneni djelo', 'motociklist', 'kriminalistički istraživanje', 'nesreća dogoditi', 'kriminalistički', 'težak prometan nesreća', 'prometan nesreća dogoditi']",
6,163,6_biti_predsjednik_trump_koji,"['biti', 'predsjednik', 'trump', 'koji', 'ukrajina', 'američki', 'sebe', 'htjeti', 'sažetak', 'datum']","['saudijska arabija', 'von der leyen', 'ursula von der', 'der leyen', 'ursula von', 'sanirati', 'predsjednik joe biden', 'izrael hamas', 'ursula', 'johnson']","['scholz', 'who', 'diplomacija', 'protiviti', 'visok predstavnik', 'von der leyen', 'der leyen', 'leyen', 'von der', 'poručiti']",
7,108,7_biti_sebe_komentar_sažetak,"['biti', 'sebe', 'komentar', 'sažetak', 'datum', 'naslov', 'taj', 'koji', 'htjeti', 'trump']","['tomislav tomašević', 'gradonačelnik tomislav tomašević', 'venezuela', 'tučnjava', 'povorka', 'plenković', 'gradonačelnik tomislav', 'tomislav', 'maduro', 'narediti']","['split', 'tomašević', 'bugarska', 'navijač', 'venezuela', 'tomislav', 'tomislav tomašević', 'rat gaza', 'davor', 'povorka']",
8,105,8_biti_koji_datum_naslov,"['biti', 'koji', 'datum', 'naslov', 'što', 'sažetak', 'komentar', 'sebe', 'nakon', 'htjeti']","['plenković', 'dalmacija', 'poskupljivati', 'zagreb', 'trump', 'pula', 'proglasiti pobjeda', 'turska', 'nafta', 'uhljeb']","['benzin', 'zagreb', 'uhljeb', 'nemati', 'čistoća', 'vatrogasac', 'fora', 'prosječan', 'grbin', 'zelen']",
9,90,9_biti_htjeti_naslov_komentar,"['biti', 'htjeti', 'naslov', 'komentar', 'sažetak', 'datum', 'koji', 'sebe', 'danas', 'što']","['rat ukrajina', 'molitelj', 'zagreb', 'kukuruz', 'ukrajina', 'plakat', 'krasti', 'umag', 'poskupljenje', 'invazija']","['milijarda', 'zagreb', 'dan', 'ukrajina', 'rimac', 'luksuzan', 'mjesec', 'sat', 'hamas', 'razotkriti']",
